Imagen;Cantidad Total;Cantidad Vivas;Cantidad Muertas;% Viabilidad;Confianza media;Ruta imagen anotada
10.png;67;56;11;83,58;0,6939;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/10_annotated.png
20180509_Hi5_1.png;65;49;16;75,38;0,7709;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/20180509_Hi5_1_annotated.png
20180509_Hi5_2.tif;89;68;21;76,4;0,7727;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/20180509_Hi5_2_annotated.png
20180509_Sf9_1.tif;204;199;5;97,55;0,7559;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/20180509_Sf9_1_annotated.png
20190809_Hi5_growth2.png;248;248;0;100,0;0,8229;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/20190809_Hi5_growth2_annotated.png
20200408_Hi5+C3CD_43hpi_+stain_2.png;111;95;16;85,59;0,8039;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/20200408_Hi5+C3CD_43hpi_+stain_2_annotated.png
20200421_Hi5_+C3CD_4dpi_2.jpeg;155;110;45;70,97;0,7791;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/20200421_Hi5_+C3CD_4dpi_2_annotated.png
20200522_Hi5_+_p5_Hi5_C3CD_4dpi_2.jpeg;307;180;127;58,63;0,7766;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/20200522_Hi5_+_p5_Hi5_C3CD_4dpi_2_annotated.png
20200522_NC1_1e6_2.jpeg;238;217;21;91,18;0,8019;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/20200522_NC1_1e6_2_annotated.png
20200622_Hi5_+_p3_C3CD_MOI_=_5_2.jpeg;104;29;75;27,88;0,748;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/20200622_Hi5_+_p3_C3CD_MOI_=_5_2_annotated.png
20220704 Day 0 Hi5_1 2ul.tif;6;6;0;100,0;0,7939;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/20220704 Day 0 Hi5_1 2ul_annotated.png
20220704 Day 0 Sf9_3 2ul.png;19;16;3;84,21;0,7391;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/20220704 Day 0 Sf9_3 2ul_annotated.png
20220705 Day 1 Hi5_3 2ul.tif;33;31;2;93,94;0,7974;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/20220705 Day 1 Hi5_3 2ul_annotated.png
20220705 Day 1 Sf9_1 2ul.png;82;78;4;95,12;0,7397;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/20220705 Day 1 Sf9_1 2ul_annotated.png
20220706 Day 2 Hi5_2 2ul.png;55;49;6;89,09;0,7389;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/20220706 Day 2 Hi5_2 2ul_annotated.png
20220707 Day 3 Sf9_1 2ul 0.5X.tif;139;135;4;97,12;0,7506;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/20220707 Day 3 Sf9_1 2ul 0.5X_annotated.png
20220707 Day 3 Sf9_2 2ul 0.5X.tif;162;160;2;98,77;0,7687;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/20220707 Day 3 Sf9_2 2ul 0.5X_annotated.png
20220708 Day 4 Sf9_1 2ul 0.2X.png;106;104;2;98,11;0,7594;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/20220708 Day 4 Sf9_1 2ul 0.2X_annotated.png
21.png;22;22;0;100,0;0,7612;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/21_annotated.png
33.png;35;29;6;82,86;0,6187;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/33_annotated.png
34.png;80;80;0;100,0;0,7549;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/34_annotated.png
38.png;67;54;13;80,6;0,6565;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/38_annotated.png
44.png;45;41;4;91,11;0,6847;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/44_annotated.png
47.png;94;90;4;95,74;0,7062;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/47_annotated.png
48.png;68;66;2;97,06;0,7236;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/48_annotated.png
50.png;55;49;6;89,09;0,6637;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/50_annotated.png
6.png;20;14;6;70,0;0,5853;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/6_annotated.png
64.png;16;13;3;81,25;0,6525;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/64_annotated.png
71.png;64;62;2;96,88;0,7029;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/71_annotated.png
72.png;98;91;7;92,86;0,7196;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/72_annotated.png
90.png;84;79;5;94,05;0,6911;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/90_annotated.png
94.png;81;76;5;93,83;0,6732;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/94_annotated.png
99.png;100;91;9;91,0;0,6898;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/99_annotated.png
real_22.jpg;15;12;3;80,0;0,6631;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/real_22_annotated.png
real_33.jpg;9;8;1;88,89;0,6319;/Users/hector/Desktop/BioSight/BioSight/salida_final/annotated/real_33_annotated.png
